months,day_of_months,hours,outdoor_temperatures,outdoor_humidities,htg_setpoints,clg_setpoints,air_temperatures,air_humidities,people_occupants,air_co2s,window_fan_energies,total_electricity_HVACs,temp_violations,co2_violations,time_labels,window_fan_speeds,ac_fan_speeds
1.0,31.0,0.0,5.633333,83.0,5.0,50.0,15.284017,46.105152,0.0,406.82532,0.0,0.0,False,False,01-31 00:10,0.0,0.0
1.0,31.0,0.0,4.95,84.0,5.0,50.0,14.640622,47.542137,0.0,405.93045,0.0,0.0,False,False,01-31 00:20,0.0,0.0
1.0,31.0,0.0,4.266667,85.0,5.0,50.0,14.21284,48.443092,0.0,405.7264,0.0,0.0,False,False,01-31 00:30,0.0,0.0
1.0,31.0,0.0,3.5833333,86.0,5.0,50.0,13.88608,48.667114,0.0,404.9461,0.0,0.0,False,False,01-31 00:40,0.0,0.0
1.0,31.0,0.0,2.9,87.0,5.0,50.0,13.5654745,48.759335,0.0,404.29147,0.0,0.0,False,False,01-31 00:50,0.0,0.0
1.0,31.0,1.0,2.8166666,87.333336,5.0,50.0,13.3747425,48.68719,0.0,403.86667,0.0,0.0,False,False,01-31 01:00,0.0,0.0
1.0,31.0,1.0,2.7333333,87.666664,5.0,50.0,13.172349,48.488964,0.0,403.35843,0.0,0.0,False,False,01-31 01:10,0.0,0.0
1.0,31.0,1.0,2.65,88.0,5.0,50.0,13.008605,48.262817,0.0,402.91434,0.0,0.0,False,False,01-31 01:20,0.0,0.0
1.0,31.0,1.0,2.5666666,88.333336,5.0,50.0,12.866135,48.055492,0.0,402.52765,0.0,0.0,False,False,01-31 01:30,0.0,0.0
1.0,31.0,1.0,2.4833333,88.666664,5.0,50.0,12.737478,47.87689,0.0,402.19196,0.0,0.0,False,False,01-31 01:40,0.0,0.0
1.0,31.0,1.0,2.4,89.0,5.0,50.0,12.620444,47.72247,0.0,401.90094,0.0,0.0,False,False,01-31 01:50,0.0,0.0
1.0,31.0,2.0,2.3666666,89.0,5.0,50.0,12.516704,47.58531,0.0,401.64868,0.0,0.0,False,False,01-31 02:00,0.0,0.0
1.0,31.0,2.0,2.3333333,89.0,5.0,50.0,12.424889,47.454826,0.0,401.43002,0.0,0.0,False,False,01-31 02:10,0.0,0.0
1.0,31.0,2.0,2.3,89.0,5.0,50.0,12.342342,47.33383,0.0,401.24042,0.0,0.0,False,False,01-31 02:20,0.0,0.0
1.0,31.0,2.0,2.2666667,89.0,5.0,50.0,12.267051,47.223976,0.0,401.076,0.0,0.0,False,False,01-31 02:30,0.0,0.0
1.0,31.0,2.0,2.2333333,89.0,5.0,50.0,12.197693,47.12527,0.0,400.93338,0.0,0.0,False,False,01-31 02:40,0.0,0.0
1.0,31.0,2.0,2.2,89.0,5.0,50.0,12.133402,47.036747,0.0,400.80966,0.0,0.0,False,False,01-31 02:50,0.0,0.0
1.0,31.0,3.0,2.1,89.166664,5.0,50.0,12.068789,46.95528,0.0,400.70236,0.0,0.0,False,False,01-31 03:00,0.0,0.0
1.0,31.0,3.0,2.0,89.333336,5.0,50.0,12.003111,46.883297,0.0,400.60925,0.0,0.0,False,False,01-31 03:10,0.0,0.0
1.0,31.0,3.0,1.9,89.5,5.0,50.0,11.937824,46.813404,0.0,400.5285,0.0,0.0,False,False,01-31 03:20,0.0,0.0
1.0,31.0,3.0,1.8,89.666664,5.0,50.0,11.87396,46.74176,0.0,400.45844,0.0,0.0,False,False,01-31 03:30,0.0,0.0
1.0,31.0,3.0,1.7,89.833336,5.0,50.0,11.811705,46.667686,0.0,400.39764,0.0,0.0,False,False,01-31 03:40,0.0,0.0
1.0,31.0,3.0,1.6,90.0,5.0,50.0,11.750878,46.591614,0.0,400.3449,0.0,0.0,False,False,01-31 03:50,0.0,0.0
1.0,31.0,4.0,1.5,90.5,5.0,50.0,11.691407,46.525425,0.0,400.29916,0.0,0.0,False,False,01-31 04:00,0.0,0.0
1.0,31.0,4.0,1.4,91.0,5.0,50.0,11.633181,46.475353,0.0,400.2595,0.0,0.0,False,False,01-31 04:10,0.0,0.0
1.0,31.0,4.0,1.3,91.5,5.0,50.0,11.57606,46.441833,0.0,400.22507,0.0,0.0,False,False,01-31 04:20,0.0,0.0
1.0,31.0,4.0,1.2,92.0,5.0,50.0,11.519926,46.422745,0.0,400.1952,0.0,0.0,False,False,01-31 04:30,0.0,0.0
1.0,31.0,4.0,1.1,92.5,5.0,50.0,11.46468,46.41559,0.0,400.16928,0.0,0.0,False,False,01-31 04:40,0.0,0.0
1.0,31.0,4.0,1.0,93.0,5.0,50.0,11.410242,46.418232,0.0,400.14682,0.0,0.0,False,False,01-31 04:50,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,11.388948,46.33545,0.0,400.12732,0.0,0.0,False,False,01-31 05:00,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,11.374963,46.2485,0.0,400.11044,0.0,0.0,False,False,01-31 05:10,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,11.354776,46.19782,0.0,400.09576,0.0,0.0,False,False,01-31 05:20,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,11.329725,46.17715,0.0,400.08307,0.0,0.0,False,False,01-31 05:30,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,11.304085,46.171265,0.0,400.07205,0.0,0.0,False,False,01-31 05:40,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,11.279816,46.17233,0.0,400.0625,0.0,0.0,False,False,01-31 05:50,0.0,0.0
1.0,31.0,6.0,1.0,91.833336,5.0,50.0,11.77999,44.699257,0.96000004,407.20142,0.0,0.0,True,False,01-31 06:00,0.0,0.0
1.0,31.0,6.0,1.0,90.666664,21.0,23.0,14.572294,37.296574,0.96000004,416.72308,0.0,943582.3,True,False,01-31 06:10,0.0,1.0
1.0,31.0,6.0,1.0,89.5,21.0,23.0,14.756526,36.91802,0.96000004,422.36414,0.0,1151442.1,True,False,01-31 06:20,0.0,1.0
1.0,31.0,6.0,1.0,88.333336,21.0,23.0,15.794336,34.56131,0.96000004,425.8621,0.0,1007208.56,True,False,01-31 06:30,0.0,1.0
1.0,31.0,6.0,1.0,87.166664,21.0,23.0,15.763645,34.688705,0.96000004,434.62592,0.0,1104344.8,True,False,01-31 06:40,0.0,1.0
1.0,31.0,6.0,1.0,86.0,21.0,23.0,17.107336,31.865318,0.96000004,437.14432,0.0,889521.9,True,False,01-31 06:50,0.0,1.0
1.0,31.0,7.0,1.0,87.166664,21.0,23.0,16.552567,33.140594,1.9200001,444.30215,0.0,1303282.1,True,False,01-31 07:00,0.0,1.0
1.0,31.0,7.0,1.0,88.333336,21.0,23.0,17.944403,30.551794,1.9200001,457.5034,0.0,892757.4,True,False,01-31 07:10,0.0,1.0
1.0,31.0,7.0,1.0,89.5,21.0,23.0,18.538675,29.616566,1.9200001,466.18503,0.0,892421.9,True,False,01-31 07:20,0.0,1.0
1.0,31.0,7.0,1.0,90.666664,21.0,23.0,18.224152,30.38212,1.9200001,472.62827,0.0,1033520.44,True,False,01-31 07:30,0.0,1.0
1.0,31.0,7.0,1.0,91.833336,21.0,23.0,18.099867,30.785807,1.9200001,477.56705,0.0,1107719.9,True,False,01-31 07:40,0.0,1.0
1.0,31.0,7.0,1.0,93.0,21.0,23.0,19.117945,29.16032,1.9200001,494.024,0.0,903538.3,True,False,01-31 07:50,0.0,1.0
1.0,31.0,8.0,1.1666666,93.0,21.0,23.0,19.132141,29.991207,8.16,540.9462,0.0,1318485.4,True,False,01-31 08:00,0.0,1.0
1.0,31.0,8.0,1.3333334,93.0,21.0,23.0,20.350054,29.106432,8.16,602.9434,0.0,1008050.25,False,False,01-31 08:10,0.0,1.0
1.0,31.0,8.0,1.5,93.0,21.0,23.0,20.641563,30.029228,8.16,677.7742,0.0,872268.6,False,False,01-31 08:20,0.0,1.0
1.0,31.0,8.0,1.6666666,93.0,21.0,23.0,20.991823,30.355072,8.16,730.01654,0.0,607934.25,False,False,01-31 08:30,0.0,1.0
1.0,31.0,8.0,1.8333334,93.0,21.0,23.0,21.000175,31.790787,8.16,802.61804,0.0,665017.4,False,True,01-31 08:40,0.0,1.0
1.0,31.0,8.0,2.0,93.0,21.0,23.0,18.694803,36.58123,8.16,750.12317,6750.0,1012023.4,True,False,01-31 08:50,1.0,1.0
1.0,31.0,9.0,2.1666667,93.0,21.0,23.0,18.953619,35.89783,9.6,747.8222,9000.0,916965.6,True,False,01-31 09:00,1.0,1.0
1.0,31.0,9.0,2.3333333,93.0,21.0,23.0,18.933296,35.910496,9.6,743.5999,27000.0,919952.3,True,False,01-31 09:10,1.0,1.0
1.0,31.0,9.0,2.5,93.0,21.0,23.0,18.905111,35.96762,9.6,726.7,27000.0,922296.06,True,False,01-31 09:20,1.0,1.0
1.0,31.0,9.0,2.6666667,93.0,21.0,23.0,18.918398,36.04602,9.6,711.69855,27000.0,924707.56,True,False,01-31 09:30,1.0,1.0
1.0,31.0,9.0,2.8333333,93.0,21.0,23.0,18.95662,36.154102,9.6,700.508,27000.0,927074.4,True,False,01-31 09:40,1.0,1.0
1.0,31.0,9.0,3.0,93.0,21.0,23.0,19.015759,36.274372,9.6,692.8089,27000.0,929436.4,True,False,01-31 09:50,1.0,1.0
1.0,31.0,10.0,3.5,91.0,21.0,23.0,20.803335,33.82637,9.6,773.7433,0.0,825411.9,False,False,01-31 10:00,0.0,1.0
1.0,31.0,10.0,4.0,89.0,21.0,23.0,20.999977,34.294212,9.6,796.50555,0.0,534735.56,False,False,01-31 10:10,0.0,1.0
1.0,31.0,10.0,4.5,87.0,21.0,23.0,21.000214,35.349735,9.6,835.5312,0.0,464994.6,False,True,01-31 10:20,0.0,1.0
1.0,31.0,10.0,5.0,85.0,21.0,23.0,20.366997,37.069664,9.6,793.334,13500.0,906291.1,False,False,01-31 10:30,1.0,1.0
1.0,31.0,10.0,5.5,83.0,21.0,23.0,20.239853,37.231575,9.6,753.95,27000.0,698023.25,False,False,01-31 10:40,1.0,1.0
1.0,31.0,10.0,6.0,81.0,21.0,23.0,20.258356,37.085175,9.6,722.6133,27000.0,699059.56,False,False,01-31 10:50,1.0,1.0
1.0,31.0,11.0,6.1666665,79.166664,21.0,23.0,20.376625,36.74615,9.6,706.0352,27000.0,698887.0,False,False,01-31 11:00,1.0,1.0
1.0,31.0,11.0,6.3333335,77.333336,21.0,23.0,19.18324,39.43428,9.6,699.7388,6750.0,1013284.6,True,False,01-31 11:10,1.0,1.0
1.0,31.0,11.0,6.5,75.5,21.0,23.0,20.999863,36.494118,9.6,781.7941,0.0,489429.4,False,False,01-31 11:20,0.0,1.0
1.0,31.0,11.0,6.6666665,73.666664,21.0,23.0,21.000029,37.305588,9.6,820.2751,0.0,164353.83,False,True,01-31 11:30,0.0,1.0
1.0,31.0,11.0,6.8333335,71.833336,21.0,23.0,20.838726,37.750473,9.6,828.3738,27000.0,693050.4,False,True,01-31 11:40,1.0,1.0
1.0,31.0,11.0,7.0,70.0,21.0,23.0,20.08871,38.483444,9.6,787.297,6750.0,907814.8,False,False,01-31 11:50,1.0,1.0
1.0,31.0,12.0,7.2,69.666664,21.0,23.0,20.013317,37.773968,4.8,747.1759,27000.0,700477.3,False,False,01-31 12:00,1.0,1.0
1.0,31.0,12.0,7.4,69.333336,21.0,23.0,20.342974,35.739826,4.8,706.60693,13500.0,700233.06,False,False,01-31 12:10,1.0,1.0
1.0,31.0,12.0,7.6,69.0,21.0,23.0,20.48089,34.922344,4.8,689.33136,27000.0,697976.8,False,False,01-31 12:20,1.0,1.0
1.0,31.0,12.0,7.8,68.666664,21.0,23.0,20.994558,33.96351,4.8,722.4093,0.0,623954.8,False,False,01-31 12:30,0.0,1.0
1.0,31.0,12.0,8.0,68.333336,21.0,23.0,20.99992,34.424232,4.8,756.78406,0.0,318652.5,False,False,01-31 12:40,0.0,1.0
1.0,31.0,12.0,8.2,68.0,21.0,23.0,20.988111,35.212444,4.8,796.4807,0.0,279681.38,False,False,01-31 12:50,0.0,1.0
1.0,31.0,13.0,8.333333,67.666664,21.0,23.0,20.999886,36.264397,7.68,847.13306,0.0,243933.4,False,True,01-31 13:00,0.0,1.0
1.0,31.0,13.0,8.466666,67.333336,21.0,23.0,21.000484,36.40569,7.68,831.47174,27000.0,641347.1,False,True,01-31 13:10,1.0,1.0
1.0,31.0,13.0,8.6,67.0,21.0,23.0,20.979511,35.94028,7.68,777.22943,6750.0,770626.2,False,False,01-31 13:20,1.0,1.0
1.0,31.0,13.0,8.733334,66.666664,21.0,23.0,20.982704,35.72651,7.68,757.5293,27000.0,692961.7,False,False,01-31 13:30,1.0,1.0
1.0,31.0,13.0,8.866667,66.333336,21.0,23.0,20.999533,35.372826,7.68,718.7683,27000.0,574722.56,False,False,01-31 13:40,1.0,1.0
1.0,31.0,13.0,9.0,66.0,21.0,23.0,20.5745,36.100903,7.68,698.97815,9000.0,713294.3,False,False,01-31 13:50,1.0,1.0
1.0,31.0,14.0,9.166667,66.0,21.0,23.0,20.99017,35.931805,7.68,744.9953,0.0,247614.92,False,False,01-31 14:00,0.0,1.0
1.0,31.0,14.0,9.333333,66.0,21.0,23.0,20.999855,37.06483,7.68,803.18713,0.0,172397.78,False,True,01-31 14:10,0.0,1.0
1.0,31.0,14.0,9.5,66.0,21.0,23.0,21.000465,37.37492,7.68,799.1618,27000.0,576082.1,False,False,01-31 14:20,1.0,1.0
1.0,31.0,14.0,9.666667,66.0,21.0,23.0,21.000135,37.19258,7.68,760.7039,27000.0,562089.4,False,False,01-31 14:30,1.0,1.0
1.0,31.0,14.0,9.833333,66.0,21.0,23.0,20.548555,37.917995,7.68,730.7288,9000.0,843688.75,False,False,01-31 14:40,1.0,1.0
1.0,31.0,14.0,10.0,66.0,21.0,23.0,20.99936,36.88587,7.68,723.50964,13500.0,588818.4,False,False,01-31 14:50,1.0,1.0
1.0,31.0,15.0,9.933333,67.166664,21.0,23.0,20.999979,36.980816,7.68,709.9234,27000.0,503873.06,False,False,01-31 15:00,1.0,1.0
1.0,31.0,15.0,9.866667,68.333336,21.0,23.0,20.997156,37.10164,7.68,690.8009,9000.0,724562.7,False,False,01-31 15:10,1.0,1.0
1.0,31.0,15.0,9.8,69.5,21.0,23.0,20.999945,37.805,7.68,732.4142,0.0,245430.47,False,False,01-31 15:20,0.0,1.0
1.0,31.0,15.0,9.733334,70.666664,21.0,23.0,21.000072,39.01613,7.68,789.1259,0.0,143240.45,False,False,01-31 15:30,0.0,1.0
1.0,31.0,15.0,9.666667,71.833336,21.0,23.0,21.000166,40.346786,7.68,851.5934,0.0,184382.86,False,True,01-31 15:40,0.0,1.0
1.0,31.0,15.0,9.6,73.0,21.0,23.0,21.000526,40.718224,7.68,839.0759,27000.0,561175.44,False,True,01-31 15:50,1.0,1.0
1.0,31.0,16.0,9.5,74.333336,21.0,23.0,21.00016,40.58186,7.68,789.282,27000.0,564909.44,False,False,01-31 16:00,1.0,1.0
1.0,31.0,16.0,9.4,75.666664,21.0,23.0,20.99995,40.411682,7.68,739.2575,27000.0,569172.3,False,False,01-31 16:10,1.0,1.0
1.0,31.0,16.0,9.3,77.0,21.0,23.0,20.999933,40.385715,7.68,702.49554,27000.0,573465.2,False,False,01-31 16:20,1.0,1.0
1.0,31.0,16.0,9.2,78.333336,21.0,23.0,20.99999,40.502697,7.68,678.3813,27000.0,577418.5,False,False,01-31 16:30,1.0,1.0
1.0,31.0,16.0,9.1,79.666664,21.0,23.0,21.000015,41.328564,7.68,706.46515,0.0,180196.4,False,False,01-31 16:40,0.0,1.0
1.0,31.0,16.0,9.0,81.0,21.0,23.0,21.00011,42.544247,7.68,763.0611,0.0,180593.66,False,False,01-31 16:50,0.0,1.0
1.0,31.0,17.0,8.666667,81.0,21.0,23.0,21.000229,43.738384,6.72,821.565,0.0,248733.78,False,True,01-31 17:00,0.0,1.0
1.0,31.0,17.0,8.333333,81.0,21.0,23.0,21.00058,43.510548,6.72,807.04614,27000.0,677240.4,False,True,01-31 17:10,1.0,1.0
1.0,31.0,17.0,8.0,81.0,21.0,23.0,20.9999,42.46944,6.72,757.12714,27000.0,693917.75,False,False,01-31 17:20,1.0,1.0
1.0,31.0,17.0,7.6666665,81.0,21.0,23.0,20.178518,43.322308,6.72,718.0759,6750.0,907857.9,False,False,01-31 17:30,1.0,1.0
1.0,31.0,17.0,7.3333335,81.0,21.0,23.0,20.164812,42.7713,6.72,709.91455,27000.0,700637.94,False,False,01-31 17:40,1.0,1.0
1.0,31.0,17.0,7.0,81.0,21.0,23.0,20.44803,40.8729,6.72,680.80084,27000.0,700648.06,False,False,01-31 17:50,1.0,1.0
1.0,31.0,18.0,6.8333335,80.0,21.0,23.0,20.390654,40.440342,3.8400002,683.42035,0.0,736926.6,False,False,01-31 18:00,0.0,1.0
1.0,31.0,18.0,6.6666665,79.0,21.0,23.0,20.999847,39.12348,3.8400002,708.0936,0.0,469343.9,False,False,01-31 18:10,0.0,1.0
1.0,31.0,18.0,6.5,78.0,21.0,23.0,20.808447,39.74571,3.8400002,726.10803,0.0,428647.06,False,False,01-31 18:20,0.0,1.0
1.0,31.0,18.0,6.3333335,77.0,21.0,23.0,21.000011,39.641346,3.8400002,741.70355,0.0,434863.2,False,False,01-31 18:30,0.0,1.0
1.0,31.0,18.0,6.1666665,76.0,21.0,23.0,21.000057,39.871197,3.8400002,750.2217,0.0,382648.1,False,False,01-31 18:40,0.0,1.0
1.0,31.0,18.0,6.0,75.0,21.0,23.0,21.000076,40.21215,3.8400002,772.1938,0.0,418241.88,False,False,01-31 18:50,0.0,1.0
1.0,31.0,19.0,6.0,75.0,21.0,23.0,21.000109,40.54949,3.8400002,796.40845,0.0,408080.38,False,False,01-31 19:00,0.0,1.0
1.0,31.0,19.0,6.0,75.0,21.0,23.0,21.000107,40.872433,3.8400002,820.41486,0.0,404592.16,False,True,01-31 19:10,0.0,1.0
1.0,31.0,19.0,6.0,75.0,21.0,23.0,19.275402,42.21721,3.8400002,731.66266,4500.0,908495.25,True,False,01-31 19:20,1.0,1.0
1.0,31.0,19.0,6.0,75.0,21.0,23.0,19.657003,40.040638,3.8400002,711.4522,13500.0,703264.5,True,False,01-31 19:30,1.0,1.0
1.0,31.0,19.0,6.0,75.0,21.0,23.0,19.191729,39.5281,3.8400002,676.0981,6750.0,807784.5,True,False,01-31 19:40,1.0,1.0
1.0,31.0,19.0,6.0,75.0,21.0,23.0,20.972776,36.375275,3.8400002,729.52374,0.0,713030.5,False,False,01-31 19:50,0.0,1.0
1.0,31.0,20.0,6.1666665,75.166664,21.0,23.0,20.305624,37.816727,1.92,738.5759,0.0,796219.5,False,False,01-31 20:00,0.0,1.0
1.0,31.0,20.0,6.3333335,75.333336,21.0,23.0,20.999966,36.327698,1.92,741.9025,0.0,566349.94,False,False,01-31 20:10,0.0,1.0
1.0,31.0,20.0,6.5,75.5,21.0,23.0,21.000011,36.392303,1.92,740.2527,0.0,447102.22,False,False,01-31 20:20,0.0,1.0
1.0,31.0,20.0,6.6666665,75.666664,21.0,23.0,21.000027,36.5216,1.92,744.7955,0.0,495838.12,False,False,01-31 20:30,0.0,1.0
1.0,31.0,20.0,6.8333335,75.833336,21.0,23.0,21.000051,36.666492,1.92,751.28357,0.0,482603.66,False,False,01-31 20:40,0.0,1.0
1.0,31.0,20.0,7.0,76.0,21.0,23.0,21.000055,36.82084,1.92,758.22003,0.0,473087.88,False,False,01-31 20:50,0.0,1.0
1.0,31.0,21.0,7.0,76.333336,21.0,23.0,21.00006,36.98369,1.92,764.96405,0.0,469792.25,False,False,01-31 21:00,0.0,1.0
1.0,31.0,21.0,7.0,76.666664,21.0,23.0,21.00006,37.145878,1.92,771.3918,0.0,467550.5,False,False,01-31 21:10,0.0,1.0
1.0,31.0,21.0,7.0,77.0,21.0,23.0,21.00006,37.306725,1.92,777.5446,0.0,466031.88,False,False,01-31 21:20,0.0,1.0
1.0,31.0,21.0,7.0,77.333336,21.0,23.0,21.00006,37.466385,1.92,783.4733,0.0,465013.38,False,False,01-31 21:30,0.0,1.0
1.0,31.0,21.0,7.0,77.666664,21.0,23.0,21.000057,37.625088,1.92,789.2055,0.0,464372.88,False,False,01-31 21:40,0.0,1.0
1.0,31.0,21.0,7.0,78.0,21.0,23.0,21.000057,37.782955,1.92,794.75244,0.0,463960.03,False,False,01-31 21:50,0.0,1.0
1.0,31.0,22.0,7.0,78.5,21.0,23.0,20.575577,38.398296,1.92,764.57605,0.0,765985.1,False,False,01-31 22:00,0.0,1.0
1.0,31.0,22.0,7.0,79.0,21.0,23.0,20.950203,37.323254,1.92,749.0213,0.0,696637.2,False,False,01-31 22:10,0.0,1.0
1.0,31.0,22.0,7.0,79.5,21.0,23.0,20.99872,36.8688,1.92,721.35706,0.0,674647.9,False,False,01-31 22:20,0.0,1.0
1.0,31.0,22.0,7.0,80.0,21.0,23.0,20.999796,36.600548,1.92,697.5157,0.0,669552.06,False,False,01-31 22:30,0.0,1.0
1.0,31.0,22.0,7.0,80.5,21.0,23.0,20.99999,36.40792,1.92,681.69336,0.0,671848.1,False,False,01-31 22:40,0.0,1.0
1.0,31.0,22.0,7.0,81.0,21.0,23.0,19.66764,39.38678,1.92,663.2567,0.0,1000571.06,True,False,01-31 22:50,0.0,1.0
1.0,31.0,23.0,7.0,81.0,21.0,23.0,19.97311,38.34502,0.0,641.07855,0.0,703390.44,False,False,01-31 23:00,0.0,1.0
1.0,31.0,23.0,7.0,81.0,5.0,50.0,17.378412,44.554466,0.0,614.51306,0.0,0.0,False,False,01-31 23:10,0.0,0.0
1.0,31.0,23.0,7.0,81.0,5.0,50.0,16.552208,46.64975,0.0,600.5193,0.0,0.0,False,False,01-31 23:20,0.0,0.0
1.0,31.0,23.0,7.0,81.0,5.0,50.0,16.027763,47.97888,0.0,591.6307,0.0,0.0,False,False,01-31 23:30,0.0,0.0
1.0,31.0,23.0,7.0,81.0,5.0,50.0,15.639739,48.913864,0.0,584.349,0.0,0.0,False,False,01-31 23:40,0.0,0.0
1.0,31.0,23.0,7.0,81.0,5.0,50.0,15.279817,49.60625,0.0,559.646,0.0,0.0,False,False,01-31 23:50,0.0,0.0
2.0,1.0,0.0,7.0,84.166664,5.0,50.0,14.988686,50.185116,0.0,538.42816,0.0,0.0,False,False,02-01 00:00,0.0,0.0
2.0,1.0,0.0,7.0,87.333336,5.0,50.0,14.819222,50.614998,0.0,524.4027,0.0,0.0,False,False,02-01 00:10,0.0,0.0
2.0,1.0,0.0,7.0,90.5,5.0,50.0,14.631783,51.356525,0.0,507.9598,0.0,0.0,False,False,02-01 00:20,0.0,0.0
2.0,1.0,0.0,7.0,93.666664,5.0,50.0,14.479503,52.23813,0.0,493.76743,0.0,0.0,False,False,02-01 00:30,0.0,0.0
2.0,1.0,0.0,7.0,96.833336,5.0,50.0,14.237827,53.651302,0.0,481.47275,0.0,0.0,False,False,02-01 00:40,0.0,0.0
2.0,1.0,0.0,7.0,100.0,5.0,50.0,14.02067,55.1897,0.0,470.80072,0.0,0.0,False,False,02-01 00:50,0.0,0.0
2.0,1.0,1.0,7.0,100.0,5.0,50.0,13.863817,56.7281,0.0,461.52902,0.0,0.0,False,False,02-01 01:00,0.0,0.0
2.0,1.0,1.0,7.0,100.0,5.0,50.0,13.843045,57.68082,0.0,453.4707,0.0,0.0,False,False,02-01 01:10,0.0,0.0
2.0,1.0,1.0,7.0,100.0,5.0,50.0,13.845371,58.426723,0.0,446.4664,0.0,0.0,False,False,02-01 01:20,0.0,0.0
2.0,1.0,1.0,7.0,100.0,5.0,50.0,13.819683,59.171215,0.0,440.3788,0.0,0.0,False,False,02-01 01:30,0.0,0.0
2.0,1.0,1.0,7.0,100.0,5.0,50.0,13.773877,59.90617,0.0,435.08868,0.0,0.0,False,False,02-01 01:40,0.0,0.0
2.0,1.0,1.0,7.0,100.0,5.0,50.0,13.725345,60.58085,0.0,430.4919,0.0,0.0,False,False,02-01 01:50,0.0,0.0
2.0,1.0,2.0,7.0,100.0,5.0,50.0,13.681422,61.17711,0.0,426.49774,0.0,0.0,False,False,02-01 02:00,0.0,0.0
2.0,1.0,2.0,7.0,100.0,5.0,50.0,13.642106,61.702545,0.0,423.02707,0.0,0.0,False,False,02-01 02:10,0.0,0.0
2.0,1.0,2.0,7.0,100.0,5.0,50.0,13.605874,62.16957,0.0,420.01123,0.0,0.0,False,False,02-01 02:20,0.0,0.0
2.0,1.0,2.0,7.0,100.0,5.0,50.0,13.571957,62.586906,0.0,417.39056,0.0,0.0,False,False,02-01 02:30,0.0,0.0
2.0,1.0,2.0,7.0,100.0,5.0,50.0,13.540211,62.96015,0.0,415.11325,0.0,0.0,False,False,02-01 02:40,0.0,0.0
2.0,1.0,2.0,7.0,100.0,5.0,50.0,13.510607,63.293858,0.0,413.13428,0.0,0.0,False,False,02-01 02:50,0.0,0.0
2.0,1.0,3.0,7.0,100.0,5.0,50.0,13.483048,63.592308,0.0,411.41455,0.0,0.0,False,False,02-01 03:00,0.0,0.0
2.0,1.0,3.0,7.0,100.0,5.0,50.0,13.457381,63.859528,0.0,409.9201,0.0,0.0,False,False,02-01 03:10,0.0,0.0
2.0,1.0,3.0,7.0,100.0,5.0,50.0,13.433445,64.09916,0.0,408.62137,0.0,0.0,False,False,02-01 03:20,0.0,0.0
2.0,1.0,3.0,7.0,100.0,5.0,50.0,13.411097,64.31439,0.0,407.49274,0.0,0.0,False,False,02-01 03:30,0.0,0.0
2.0,1.0,3.0,7.0,100.0,5.0,50.0,13.390211,64.508,0.0,406.5119,0.0,0.0,False,False,02-01 03:40,0.0,0.0
2.0,1.0,3.0,7.0,100.0,5.0,50.0,13.370678,64.682434,0.0,405.65952,0.0,0.0,False,False,02-01 03:50,0.0,0.0
2.0,1.0,4.0,7.1666665,98.833336,5.0,50.0,13.3670845,64.7763,0.0,404.9189,0.0,0.0,False,False,02-01 04:00,0.0,0.0
2.0,1.0,4.0,7.3333335,97.666664,5.0,50.0,13.37979,64.78789,0.0,404.27554,0.0,0.0,False,False,02-01 04:10,0.0,0.0
2.0,1.0,4.0,7.5,96.5,5.0,50.0,13.402744,64.74301,0.0,403.71658,0.0,0.0,False,False,02-01 04:20,0.0,0.0
2.0,1.0,4.0,7.6666665,95.333336,5.0,50.0,13.431397,64.66132,0.0,403.23096,0.0,0.0,False,False,02-01 04:30,0.0,0.0
2.0,1.0,4.0,7.8333335,94.166664,5.0,50.0,13.464108,64.55021,0.0,402.80896,0.0,0.0,False,False,02-01 04:40,0.0,0.0
2.0,1.0,4.0,8.0,93.0,5.0,50.0,13.500437,64.41194,0.0,402.44226,0.0,0.0,False,False,02-01 04:50,0.0,0.0
2.0,1.0,5.0,7.8333335,94.166664,5.0,50.0,13.511609,64.37842,0.0,402.12338,0.0,0.0,False,False,02-01 05:00,0.0,0.0
2.0,1.0,5.0,7.6666665,95.333336,5.0,50.0,13.4963875,64.46052,0.0,401.84604,0.0,0.0,False,False,02-01 05:10,0.0,0.0
2.0,1.0,5.0,7.5,96.5,5.0,50.0,13.466032,64.611755,0.0,401.60477,0.0,0.0,False,False,02-01 05:20,0.0,0.0
2.0,1.0,5.0,7.3333335,97.666664,5.0,50.0,13.428821,64.795845,0.0,401.39496,0.0,0.0,False,False,02-01 05:30,0.0,0.0
2.0,1.0,5.0,7.1666665,98.833336,5.0,50.0,13.2926235,65.40292,0.0,401.2125,0.0,0.0,False,False,02-01 05:40,0.0,0.0
2.0,1.0,5.0,7.0,100.0,5.0,50.0,13.1528845,66.03118,0.0,401.0539,0.0,0.0,False,False,02-01 05:50,0.0,0.0
2.0,1.0,6.0,7.0,100.0,5.0,50.0,13.360597,65.22701,0.96000004,406.36505,0.0,0.0,True,False,02-01 06:00,0.0,0.0
